id,token_type,semantic_name,purpose,example_value,avoid
63,theme,mainColorChannels-lightShadow,Light mode shadow RGB channels,47 43 61,Hardcoded shadow colors
64,theme,mainColorChannels-darkShadow,Dark mode shadow RGB channels,19 17 32,Hardcoded shadow colors
65,theme,customColor-bodyBg,Custom body background,#F8F7FA,Hardcoded background colors
66,theme,customColor-chatBg,Chat background,#F5F5F9,Hardcoded chat backgrounds
67,theme,customColor-greyLightBg,Light gray background,#FAFAFA,Hardcoded gray backgrounds
68,theme,customColor-inputBorder,Input border color,rgb(var(--mui-mainColorChannels-light) / 0.22),Hardcoded border colors
69,theme,customColor-tableHeaderBg,Table header background,transparent,Inconsistent header backgrounds
70,theme,customColor-tooltipText,Tooltip text color,#FFFFFF,Hardcoded tooltip colors
71,theme,customColor-trackBg,Track background for sliders switches,#F0F0F0,Hardcoded track colors
72,breakpoint,bp-sm,Mobile landscape MUI breakpoint sm,600px,Hardcoding 576px
73,breakpoint,bp-md,Tablet portrait MUI breakpoint md,900px,Hardcoding 768px
74,breakpoint,bp-lg,Desktop MUI breakpoint lg,1200px,Hardcoding 992px
75,breakpoint,bp-xl,Large desktop MUI breakpoint xl,1536px,Hardcoding 1280px inconsistently
76,breakpoint,bp-2xl,Extra large desktop MUI breakpoint 2xl,1920px,Missing extra-large breakpoint
77,z-index,z-header,Header overlay layer MUI zIndex appBar,1100,Random 1000 or 1200
78,z-index,z-footer,Footer overlay layer custom,10,Competing with content layers
79,z-index,z-drawer,Drawer overlays MUI zIndex drawer,1200,Drawers behind dialogs
80,z-index,z-modal,Modal overlays MUI zIndex modal,1300,Inconsistent modal stacking
81,z-index,z-tooltip,Tooltips MUI zIndex tooltip,1400,Tooltips buried under other layers
82,z-index,z-customizer,Theme customizer panel custom,1500,Customizer behind drawers
83,z-index,z-search,Search overlay layer custom,1500,Missing search z-index
84,table,table-header-height,Table header row height CSS,56px,Inconsistent header heights
85,table,table-body-height,Table body row height CSS,50px,Inconsistent row heights
86,table,table-cell-padding-x-first,First last column horizontal padding CSS,24px,Inconsistent edge padding
87,table,table-cell-padding-x,Internal column horizontal padding CSS,16px,Inconsistent internal padding
88,table,table-checkbox-width,Checkbox selection column width,51px,Inconsistent checkbox column width
