id,area,bad_pattern,why_bad,fix
30,Production,Using CircularProgress spinners instead of Skeleton for content loading,Layout shift CLS poor perceived performance.,Use MUI Skeleton for known-shape content like cards table rows stat values.
31,Production,Missing request cancellation on unmount,Race conditions setState after unmount.,Use AbortController or TanStack Query cancellation.
32,Production,No optimistic updates for mutations,UI feels sluggish users re-submit.,Use TanStack Query optimisticUpdate pattern with rollback on error.
33,Production,Icon-only buttons without aria-label,Screen readers announce button with no context.,Enforce aria-label or visually hidden text on icon-only buttons.
34,Production,Disabling focus outlines globally,Violates WCAG 2.4.7 keyboard users lose position.,Use focus-visible with 2px offset ring never outline none globally.
35,Production,Missing aria-live on dynamic stat updates,Dashboard numbers change silently screen readers miss them.,Wrap StatCard in aria-live polite region.
36,Production,Using div with onClick as button,Not keyboard-focusable or activatable.,Use MUI ButtonBase or IconButton.
37,Production,Missing aria-expanded on custom collapsible panels,Screen readers do not know state of expandable content.,Add aria-expanded to Accordion ExpandableRow wrappers.
38,Production,Toast notification stacks without role status,Screen readers miss async feedback.,Add role status or alert to Snackbar.
39,Production,Missing key stability in mapped lists,Re-mounts destroy focus and state.,Use stable IDs never array index as key.
40,Production,Client-side state mirroring server state,Stale data sync bugs.,Use server-state library TanStack Query instead of useState.
41,Data,Hardcoding mock data inside chart or table components,Breaks when backend is ready impossible to swap to real API creates technical debt,Always use MSW json-server or API layer mock data never inline in components
42,Data,Using useEffect fetch without caching or error handling,Causes excessive re-renders no loading states no retry poor UX,Use TanStack Query or SWR for all data fetching
43,Data,No loading states for API-driven charts or tables,Users see blank or broken UI while data loads perceived as bug,Use Skeleton for charts spinners for buttons TanStack Query isLoading
44,Data,Missing error handling for backend API failures,Users see crashes or infinite loaders with no recovery path,Implement error boundaries retry buttons fallback UI cached data display
45,Data,Using setTimeout fake delays instead of MSW or real API,Unrealistic performance profile no contract validation no shared spec,Use MSW with realistic network delays or connect to real API
46,Data,Keeping json-server or localStorage as production database,Data loss no multi-user support no security no scalability,Always plan migration path to real backend json-server is dev-only
47,Data,No refetch strategy for real-time dashboard data,Shows stale data users miss critical updates dashboards feel dead,Use TanStack Query refetchInterval WebSocket SSE or polling
48,Data,Exposing third-party API keys in frontend code,Security vulnerability keys can be stolen abuse rate limits,Proxy third-party APIs through backend never expose keys in frontend
49,Data,No circuit breaker for unstable backend APIs,One failing API cascades to entire UI white screen of death,Implement fallback UI cached data graceful degradation retry with backoff
50,Data,Mixing Zustand and TanStack Query without clear separation,Confusing data flow duplicate state sync bugs hard to debug,Use TanStack Query for server state Zustand for client state only
51,Charts,Binding chart directly to raw API response without adapter,Tight coupling breaks when API changes chart logic mixed with data fetching,Create chart adapter function map API response to chart data shape
52,Charts,No empty state for charts with zero data points,Empty chart looks broken or crashes chart library,Show empty state illustration or zero baseline when no data
53,Charts,Using real-time updates without transition animations,Jarring jumps in chart data poor perceived performance,Use Recharts animation or smooth transitions for live data updates
54,Charts,Fetching all chart data on every small filter change,Excessive API calls slow performance backend overload,Debounce filter changes use TanStack Query staleTime cache filter state in URL
